spelllore,weave,spell,range,aoe,duration,save,description,warp1,warp2,warp3,spelllore-ref,attack,crit,attacktable,crittable,max
Illusions,10th,Cloud Scrying,30 m,6 m radius,10 min/lvl,N,"For the Duration of the Spell, the chosen area is made impervious against divination magic. Spells or magical effects that detect or reveal illusions and magic that enhances one's senses or let someone perceive from distance won't work within the Area of Effect.  Lore of Nature Learning from the ancient Lore of Nature, from plant and animal and the whisper of the wind and the seething of the pond.",,,,illusions,,,,,
Lore of Nature,1st,Sense Darkness,20 m,1 target,-,N,"The caster learns whether a creature or item they can see is a servant of the Darkmaster, cursed, or under the influence of an evil Spell.",+3 Weave: the caster also learns the general nature of the curse or evil Spell afflicting the target.,+1 Weave: add one target.,,lore-of-nature,,,,,
Lore of Nature,2nd,Sense Life,0 (self),30 m radius,C,N,"The caster can sense the presence of living beings (other than their own) in the Area of Effect. They can distinguish between plants and other living creatures; know exactly how many living creatures of Level 1 or higher are in the area, and are given a rough estimate of their proximity.",+2 Weave: increase Area of Effect radius by 30 meters.,+2 Weave: change Duration to 1 minute per Level.,,lore-of-nature,,,,,
Lore of Nature,3rd,Read the Wind,0 (self),caster,10 min/lvl,N,"The wind whispers to the caster, blessing them with the ability to accurately predict weather changes for the Duration. This grants them a magical +25 bonus to all Skill Rolls made to avoid or overcome weather-based Hazards and obstacles.",,,,lore-of-nature,,,,,
Lore of Nature,4th,Detect Magic,0 (self),15 m radius,C,N,"For the Duration, the caster is aware of the presence of magical items or active Spells in the Area of Effect.",+2 Weave: the caster also learns the general position of all sources of magic detected (with an approximation of 1.5 meters).,+3 Weave: this Spell also detects passive or dormant Spells and magical effects.,+2 Weave: change the Duration to 1 minute per Level. Weave Spell Range Area of Effect Duration Save,lore-of-nature,,,,,
Lore of Nature,5th,Herb Lore,0 (self),caster,1 hr/lvl,N,"For the Duration, the caster daily movement isn't halved when searching for healing herbs, and they gain a special +20 bonus to their Nature Rolls to find herbs.",,,,lore-of-nature,,,,,
Lore of Nature,6th,Spirit Guide,3 m,1 spirit,24 hrs,N,"The caster summons a small woodland spirit that appears before them in the form of an animal. The spirit will guide the caster to a specific known location, through the quickest possible route. It will circumvent natural obstacles and dangers (such as blocked paths or dangerous terrain) when possible, but cannot avoid encounters with other creatures or non-natural hazards (such as man-made traps) on its path. If the destination cannot be reached within the Duration, the spirit will guide the caster as near as possible to it. The spirit will disappear once it reaches the destination, when the Spell expires, or if it's attacked in any way.",,,,lore-of-nature,,,,,
Lore of Nature,7th,Hunter's Lore,20 m,1 target,-,N,"The caster identifies the nature of target creature they can see, learning what type of creature it is and its general origins. They also get an idea of the general capabilities usually possessed by creatures of that type, together with their most known weaknesses, vulnerabilities, or idiosyncrasies.",,,,lore-of-nature,,,,,
Lore of Nature,8th,Rumors of the Earth,30 m,1 target,C,N,"The ground itself whispers to the caster's ears, pointing them in the direction of their quarry. The caster knows the exact position of target creature they're familiar with or they have seen the tracks of. If the target is outside the Range of this Spell, the caster will learn only its general direction.",+2 Weave: change the Duration to 1 minute per Level.,"+1 Weave: the caster doesn't need to be familiar with the target, as long as it's been described to them in detail.",+1 Weave: add 30 meters to Range.,lore-of-nature,,,,,
Lore of Nature,9th,Spirit Watcher,10 m,30 m radius,1 hr/lvl,N,"The caster summons a small woodland spirit, which appears at a chosen point within Range in the form of an animal. For the Duration, the spirit will watch over the Area of Effect, mentally warning the caster of any movement within it. The spirit will ignore normal animals, unless they obviously pose a threat to the caster. It can also sense the presence of other spirits, undead, and creatures of Darkness, even if they're concealed or invisible. The spirit will disappear when the Spell expires or if it's attacked in any way.",,,,lore-of-nature,,,,,
Lore of Nature,10th,Wisdom of Yore,0 (self),caster,-,N,"The caster learns any significant legend and tale relevant to the powers, origins and history of a natural location, spirit, curse, or blessed object chosen at the time of casting. The caster must know at least a rumor about the topic, like having being told about it, or be in the presence of the subject of this Spell. In most cases, the effect of this Spell may also result in a special bonus to any Songs & Tales Skill roll variable from +50 to +100, depending on the situation. The GM must eventually give the caster's player any information about the topic, possibly in the form of the caster experiencing vivid visions of important events from the past of the item, creature, curse, or location. Master of Animals Gaining mastery of Animals to summon them at once, driving them away, calming their instincts, speaking their tongues.",,,,lore-of-nature,,,,,
Master of Animals,1st,Animal Sleep,30 m,1 animal,1 min/lvl,Y,"Target animal falls deeply asleep for the Duration. The target will immediately awake if it's shaken, prodded, or harmed in any way. Loud noises will grant it a Save Roll to end the effects of this Spell.",+2 Weave: add one animal to the Area of Effect.,,,master-of-animals,,,,,
Master of Animals,2nd,Speak with Animals,0 (self),caster,1 min/lvl,N,The caster can communicate with normal animals for the Duration.,+2 Weave: change the Duration to 10 minutes per Level.,,,master-of-animals,,,,,
Master of Animals,3rd,Animal Companion,3 m,1 target,P,N,"The caster establishes a special bond with target friendly animal within Range, swearing a sacred pact of mutual friendship. The animal will follow the caster and blindly obey their orders. Both will be able to communicate with each other at a basic level (conveying concepts such as fear, danger, hunger, enemies, and so on). This Spell ends immediately if the caster betrays the animal's trust or if it's cast again on another animal. Weave Spell Range Area of Effect Duration Save",,,,master-of-animals,,,,,
Master of Animals,4th,Summon Animals,30 m,1 animal,1 min,N,"The caster summons a random animal of Level 3 or lower from the surrounding area. When this Spell is cast, the caster can specify the general type of animal they intend to summon (e.g.: “a flying beast” or “a predator”) but cannot choose a specific animal. The summoned animal will appear at the end of the Round and will be friendly toward the caster, who can Concentrate to control its actions for the Duration. When the Spell ends, the animal will flee back to the wild.",+2 Weave: increase Duration by 1 minute.,+2 Weave: increase the maximum Level of the summoned creature by one.,+3 Weave: summon one more creature for the Duration.,master-of-animals,,,,,
Master of Animals,5th,Beast Mastery,30 m,1 animal,C,Y,The caster can control the actions of target animal within Range for the Duration.,+3 Weave: add one animal to the Area of Effect.,,,master-of-animals,,,,,
Master of Animals,6th,Hold Beasts,30 m,1 animal,1 rnd/5 fail,Y,Target animal within Range is Held for 1 Round for every 5 points of failure in its Save Roll.,+3 Weave: add one animal to the Area of Effect.,,,master-of-animals,,,,,
Master of Animals,7th,Eyes of the Forest,0 (self),caster,1 hr/lvl,N,"Local animals will aid the caster, warning them of possible dangers ahead and steering them away from perilous paths. The caster gains a special +20 bonus to their Wandering Skill Rolls while Pathfinding and a +30 bonus to all Rolls made to evade encounters for the Duration.",,,,master-of-animals,,,,,
Master of Animals,8th,Nature's Friend,0 (self),15 m radius,C,N,Animals in the Area of Effect will be friendly towards the caster and their allies for the Duration. This Spell ends immediately if the caster or one of their allies attacks the animals in any way.,,,,master-of-animals,,,,,
Master of Animals,9th,Animal Healing,0 (touch),1 animal,-,N,"Target animal miraculously recovers from any disease, wound, or injury in 1d10 days. This Spell can save Dying animals, but cannot bring dead animals back to life.",,,,master-of-animals,,,,,
Master of Animals,10th,Plague of Insects,30 m,6 m radius,1 rnd/lvl,N,"A buzzing cloud of stinging insects attacks every creature in the chosen area. Creatures in the Area of Effect will lose 2d10 HPs at the end of each Round, unless they spend a Full Action swatting the insects covering them and protecting themselves from their bites. The Area of Effect is also almost completely obscured by the insects, and all creatures inside it suffer a special -30 penalty to all their actions and attacks. Each Round, the caster can Concentrate to move the cloud to another area within the Range of the Spell. Master of Plants Mastering all kinds of plants and trees to make them grow, move, help, hinder, or grapple and crush at the master's command.",,,,master-of-animals,,,,,
Master of Plants,1st,Hinder,30 m,10 m radius,1 rnd/lvl,N,"Vegetation in the area seems to mysteriously hinder the passage of the enemies of the caster, who'll find themselves tripping over roots that weren't there a moment before or caught by unseen branches. The area is considered Arduous Terrain for all enemies of the caster for the Duration. This Spell works only in a natural environment.",+2 Weave: increase the radius of the Area of Effect by 10 meters.,+2 Weave: change the Duration to 1 minute per Level.,,master-of-plants,,,,,
Master of Plants,2nd,Speak with Plants,0 (self),caster,1 min/lvl,N,"For the Duration, the caster can communicate with normal, monstrous, and awakened trees and plants.",+2 Weave: change the Duration to 10 minutes per Level.,+5 Weave: target sentient plant chosen at the time of casting will also obey a single non-self-harming command of the caster for the Duration.,,master-of-plants,,,,,
Master of Plants,3rd,Herbal Remedy,0 (touch),1 herb,P,N,"Increase the potency of target healing herb, doubling the effects of one of its doses. This Spell cannot be cast more than once on a single herb.",+5 Weave: triple the effects of a dose of target herb instead.,,,master-of-plants,,,,,
Master of Plants,4th,Safe Passage,0 (self),30m radius,1 hr/lvl,N,"Vegetation seems to part for the caster and their allies within the Area of Effect, guiding them through the easiest route toward their destination and closing right after their passage. This Spell allows the caster and their allies to treat thick forests, bogs, swamps, and jungles as Rough Terrain; and woods or forested area as Normal Terrain for the Duration. Weave Spell Range Area of Effect Duration Save",,,,master-of-plants,,,,,
Master of Plants,5th,Locate Plant,0 (self),1.5 km radius,-,N,"The caster knows the exact position and the shortest route to a specific plant or healing herb within the Area of Effect. If no such plant grows in the area, this Spell will reveal the most similar plant (if any) in the Area of Effect.",+2 Weave: increase the radius of Area of Effect by 1.5 kilometers.,,,master-of-plants,,,,,
Master of Plants,6th,Purify Plant,3 m,1 plant,-,N,"This Spell removes any poison, disease, or side effect from target plant or herb.",+2 Weave: add one target.,+1 Weave: the Spell also dispels any harmful Spell or evil magical effect afflicting the target.,,master-of-plants,,,,,
Master of Plants,7th,Nature's Bounty,0 (touch),1.5 km radius,1 day,N,"Plants in the Area of Effect are blessed with an overabundance of fruits. For the Duration, Nature Skill Rolls for foraging in the area gain a special +50 bonus, and foraging characters in the area will gather double the normal amount of food.",,,,master-of-plants,,,,,
Master of Plants,8th,Miraculous Growth,0 (touch),1 target,-,N,"This Spell restores target dead plant back to life, or makes a fully grown herb sprout from target seed in 1d10 Rounds.",,,,master-of-plants,,,,,
Master of Plants,9th,Defoliate,30 m,6 m radius,-,Y,"This Spell destroys all vegetation within the Area of Effect, turning it into a fine, fertile powder. Sentient and enchanted plants can make a TSR against the effects of this Spell.",,,,master-of-plants,,,,,
Master of Plants,10th,Awaken Tree,3 m,1 tree,1 min/lvl,N,"The caster animates target tree, transforming it into an Awakened Tree (see Bestiary for stats and description) for the Duration. Trees awakened with this Spell can communicate freely with the caster and obey their commands to the best of their capabilities. When the Spell ends, they revert to their original condition.  Mind Control Controlling the mind of living, sentient beings to affect them with slumber, daze, and geas.",,,,master-of-plants,,,,,
Mind Control,1st,Sleep,30 m,3 m radius,1 min/lvl,Y,"Up to 4 Levels of sentient humanoid creatures in the Area of Effect fall deeply asleep. The targets will immediately awake if they're shaken, prodded, or harmed in any way. Loud noises will grant them a Save Roll to end the effects of the Spell.",+2 Weave: increase the number of Levels of creatures affected by three.,,,mind-control,,,,,
Mind Control,2nd,Charm,30 m,1 target,1 hr/lvl,Y,Target sentient humanoid creature will recognize the caster as a long-forgotten friend and act accordingly. This Spell immediately ends if the caster or one of their allies attacks or harms the target.,,,,mind-control,,,,,
Mind Control,3rd,Fear,20 m,1 target,1 rnd/lvl,Y,Target sentient creature within Range becomes Frightened of the caster for the Duration.,+3 Weave: add one target.,,,mind-control,,,,,
Mind Control,4th,Daze,30 m,1 target,1 rnd/5 fail,Y,"Target sentient creature is befuddled and unable to take decisions or new actions for 1 Round for every 5 points of failure in their Save Roll. They can continue to do whatever they were doing when the Spell was cast, and will be able to Parry and defend themselves. However, they will automatically fail any Assessment Roll, and won't be able to initiate new actions for the Duration.",+4 Weave: add one target. Weave Spell Range Area of Effect Duration Save,,,mind-control,,,,,
Mind Control,5th,Hostility,30 m,1 target,C,Y,"Target sentient creature is overwhelmed by an uncontrollable rage and attacks the nearest living being they can see for the Duration. The target engages the victim of their fury in melee as quickly as possible, otherwise they will resort to ranged attacks. They will always use their best attack (i.e. the one with the highest Skill Bonus) for the situation, and won't use any part of their CMB to Parry while under the influence of this spell. This Spell ends immediately if the target is unable to find or physically unable to attack their opponent.",,,,mind-control,,,,,
Mind Control,6th,Suggestion,3 m,1 target,1 hr/lvl,Y,"The caster suggests an action to target creature able to understand them. The target will follow the suggestion at the best of their capabilities for the Duration, provided that the action isn't obviously harmful. The Spell will immediately end when the suggested task is completed.",+2 Weave: the target won't remember who suggested the action once the Spell ends.,,,mind-control,,,,,
Mind Control,7th,Hold Kin,30 m,1 target,C,Y,Target humanoid creature within Range is Held for the Duration.,+2 Weave: change Duration to 1 Round per Level.,,,mind-control,,,,,
Mind Control,8th,Domination,20 m,1 target,10 min/lvl,Y,"Target humanoid creature within Range must obey the caster at the best of its capabilities for the Duration. This Spell ends immediately if the caster issues an obviously harmful command, attacks, or harms the target in any way.",,,,mind-control,,,,,
Mind Control,9th,Charm Monsters,30 m,1 target,1 hr/lvl,Y,Target creature will recognize the caster as a long-forgotten friend and act accordingly. This Spell immediately ends if the caster or one of their allies attacks or harms the target.,,,,mind-control,,,,,
Mind Control,10th,Geas,3 m,1 target,1 day/lvl,Y,"The caster gives target creature that is able to understand them a task to complete or prohibits it from performing a specific activity. For the Duration of the Spell, the target must obey the order received and carry out its task to the best of their capabilities. If they're prevented from doing so, they will become Weary and will suffer damage equal to 10% of their Total HPs each day, until they resume their task. The target cannot be ordered to commit suicide or other obviously self-harming actions. This Spell ends immediately once the task is completed. Miracles Creating items, food, and water out of thin air; mending what was broken; bending the laws of Nature to one's favor with the aid of the Spirits.",,,,mind-control,,,,,
Miracles,1st,Fasting,0 (self),caster,1 day,N,"The caster can go without eating and drinking for one day without suffering from Exhaustion. Note that this Spell doesn't remove existing penalties and Conditions, and does not prevent the caster from becoming Weary.",,,,miracles,,,,,
Miracles,2nd,Sacred Branch,0 (touch),1 target,P,N,"The caster blesses a small branch, turning it into their personal Sacred Branch. As long as the caster holds the branch, they gain a special +5 bonus to their DEF and to all their Save Rolls. The caster may only have one active Sacred Branch at any time. As long as this Spell is active, the caster cannot cast another Sacred Branch Spell without dismissing the first.",+5 Weave: increase DEF and Save Rolls bonus by +5.,,,miracles,,,,,
Miracles,3rd,Conjure Water,0 (touch),10 lt/lvl,P,N,"A small stream of clear, potable water springs from the ground at the point touched by the caster. The stream produces 10 liters of water each minute, and runs until the caster concentrates or until it produces 10 liters of water per Level of the caster.",+2 Weave: the water produced by the stream is incredibly refreshing and invigorating. Any creature drinking directly from it as it flows will be healed from the Weary Condition.,,,miracles,,,,,
Miracles,4th,Mending,0 (touch),1 target,-,N,"The caster can repair a single break in target non-magical, inanimate object weighing no more than 5 kg.",+3 Weave: increase maximum weight of the object by 2.5 kg. Weave Spell Range Area of Effect Duration Save,,,miracles,,,,,
Miracles,5th,Multiplication,0 (touch),1 target,10 min/lvl,N,"A wooden duplicate of target inanimate object weighing no more than 5 kg appears right in front of the caster. The duplicate is perfectly identical to the target, save for the fact that it's made of wood and doesn't have any material or magical properties possessed by the target. The duplicate disappears if this spell is dispelled or when the Duration ends.",+3 Weave: increase maximum weight of the object by 2.5 Kg.,+2 Weave: change the Duration to 1 hour per Level.,,miracles,,,,,
Miracles,6th,Spirit Feast,0 (self),caster,-,N,"The caster summons a host of small natural spirits, that appears before them in the form of several small animals. The spirits will bring enough fresh food (gathered from the surrounding area) to feed the caster and up to 3 other companions, then they disappear.",+1 Weave: the spirits will bring food for an additional companion.,,,miracles,,,,,
Miracles,7th,Sacred Steel*,0 (touch),1 target,1 rnd/lvl,N,"The caster's personal Sacred Branch is temporarily transformed into a melee weapon of the caster's choice, radiating spiritual energy. The Sacred Branch uses the Attack Table of the weapon it's transformed into, but deals either Fire or Lightning damage (chosen at the time of casting) instead of the damage type normally dealt by that weapon. The caster can either use the appropriate Skill Bonus for the weapon or their Miracles Skill Bonus to calculate their CMB when they use the Sacred Branch to attack.",,,,miracles,,,,,
Miracles,8th,Shield-Maiden,3 m,1 spirit,1 hr/lvl,N,"The caster summons a natural spirit that appears before them in an unoccupied space in the form of a valiant Shield-Maiden. The Shield-Maiden is friendly towards the caster, and will carry out a task specified at the time of casting at the best of her capabilities, unless it goes against her nature. The spirit will disappear as soon as she finishes her task or when the Duration expires, whichever comes first.",,,,miracles,,,,,
Miracles,9th,Control Weather,0 (self),10 km radius,1 hr/lvl,N,"The caster gains a limited control over weather phenomena in the Area of Effect. The caster can either make a Hazard of the Weather category disappear for the Duration or create a Weather Hazard or light weather phenomenon (light rain or snow, fog, cloudy weather, etc), consistent with the local climate, that will persist for the Duration. Changes in the weather will slowly occur over the course of one hour. This Spell can only be cast outdoors.",,,,miracles,,,,,
Miracles,10th,True Believer,0 (self),caster,1 Round,N,"For the current Round, the caster is immune to damage and Critical Strikes.  Movements of Nature Moving like the breeze through tree branches or the stream through the rock; flying like the Bird or tunneling like the Badger or running like the Wolf.",,,,miracles,,,,,
Movements of Nature,1st,Wanderer's Stride,0 (self),caster,10 min/lvl,N,Natural Rough and Arduous Terrain count as Normal Terrain for the caster for the Duration.,,,,movements-of-nature,,,,,
Movements of Nature,2nd,Squirrel's Step,0 (self),caster,1 min/lvl,N,The caster can walk (but not Sprint) on horizontal and semi-horizontal tree branches and limbs as if they were Normal Terrain for the Duration.,+4 Weave: the caster can also Sprint for the duration.,,,movements-of-nature,,,,,
Movements of Nature,3rd,Wolf's Speed,0 (self),caster,10 min/lvl,N,The caster doubles their Move Rate and can Sprint without tiring for the Duration.,,,,movements-of-nature,,,,,
Movements of Nature,4th,Otter's Breath,0 (self),caster,1 min/lvl,N,The caster can breathe underwater for the duration.,+4 Weave: change Duration to 10 minutes per Level of the caster.,,,movements-of-nature,,,,,
Movements of Nature,5th,Water Walk,0 (self),caster,1 min/lvl,N,"The caster can walk (but not Sprint) on calm water as if it were Normal Terrain. Rough waters are treated as Arduous Terrain, and the caster can move on them by making an Athletics Skill Roll.",+4 Weave: the caster can also Sprint for the Duration.,+2 Weave: rough waters are treated as Normal terrain and require no Skill Roll for the Duration. Weave Spell Range Area of Effect Duration Save,,movements-of-nature,,,,,
Movements of Nature,6th,Burrowing,0 (self),caster,1 min/lvl,N,The caster can burrow through soft earth at half their normal walking Move Rate for the Duration.,,,,movements-of-nature,,,,,
Movements of Nature,7th,Spider Climb,0 (self),caster,1 min/lvl,N,The caster can walk (but not Sprint) on any vertical or horizontal surface as if it were Normal Terrain for the Duration.,,,,movements-of-nature,,,,,
Movements of Nature,8th,One with Nature,0 (touch),caster,1 rnd/lvl,N,"The caster's body is absorbed into target organic material (living or dead) within Range. The target must be big enough to at least cover all of the caster's body. Neither the caster, nor the target are damaged in any way by this Spell. While their body is absorbed, the caster can perceive what happens around them, but cannot move or speak. They can emerge at any moment in any unoccupied point within 50 cm from their starting point. The caster will automatically emerge if the Spell ends.",,,,movements-of-nature,,,,,
Movements of Nature,9th,Hawk Flight,0 (self),caster,1 min/lvl,N,The caster can fly at their normal Move Rate for the Duration.,,,,movements-of-nature,,,,,
Movements of Nature,10th,Ghostwalk,0 (self),caster,1 min/lvl,N,"The caster can pass through wood, earth, and stone at their normal Move Rate for the Duration. Neither the material nor the caster are damaged in any way by this spell. Their body simply sinks inside the surface, without leaving any trace of its passage. If the caster is still inside the material when this Spell ends, they're forcefully ejected at their starting point and suffer damage equal to their Bruised Value.  Nature's Path Avoiding getting lost and always knowing the true direction in the wilderness. Tracking people and animals, finding shelter, and avoiding traps and natural hazards.",,,,movements-of-nature,,,,,
Natures Path,1st,Pathsight,0 (touch),1 path,-,N,"The caster gets a fleeting vision of the point of origin and destination of target path, way, or road.",,,,natures-path,,,,,
Natures Path,2nd,Sense Traps,0 (self),3 m radius,C,N,The caster is aware of the presence of traps in the Area of Effect (but not of their nature or position).,+3 Weave: change Duration to 1 minute per Level.,,,natures-path,,,,,
Natures Path,3rd,Huntmanship,0 (self),caster,1 min/lvl,N,"For the Duration, the caster gains a +20 magical bonus to their Hunting Skill Rolls and to their ranged Attack Rolls against beasts and animals.",,,,natures-path,,,,,
Natures Path,4th,Find the Path,0 (self),caster,1 hr/lvl,N,"For the Duration, the caster's daily movement (and that of anyone following them) isn't halved when Pathfinding. Additionally, the caster gains a +20 magical bonus to their Wandering Skill Rolls for the Duration.",,,,natures-path,,,,,
Natures Path,5th,Blessed Path,0 (self),caster,1 hr/lvl,N,"For the Duration, the caster's daily movement isn't halved when Foraging, and they will be able to gather double the normal amount of food with a successful Hunting or Nature Skill Roll.",,,,natures-path,,,,,
Natures Path,6th,Find Shelter,0 (self),caster,1 hr/lvl,N,The caster gains a magical +20 bonus to their Camping Rolls and to their Skill Rolls made to find shelter against weather-based Hazards Weave Spell Range Area of Effect Duration Save for the Duration.,,,,natures-path,,,,,
Natures Path,7th,Pass Without Trace,3 m,1 target,1 min/lvl,N,"Target creature can walk over natural terrain without leaving traces of their passing, imposing a magical -100 penalty to all Hunting Rolls made to follow their tracks.",+1 Weave: add another target to the Area of Effect.,,,natures-path,,,,,
Natures Path,8th,Sense Ambush,0 (self),caster,1 min/lvl,N,The caster cannot be Surprised by creatures for the Duration.,,,,natures-path,,,,,
Natures Path,9th,Eyes of the Hunter,0 (touch),15 m radius,-,N,The caster gains a mental image of each creature that passed through the Area of Effect within 1 hour per Level of casting this Spell.,,,,natures-path,,,,,
Natures Path,10th,The Hidden Path,0 (self),caster,1 day,N,"For the Duration, as long is the caster is travelling alone (or with other creatures under the effect of this Spell), they can automatically evade encounters with creatures and double their daily movement. Skirmishing Mastery Controlling the battlefield with astounding acrobatic maneuvers and deadly ranged attacks.",,,,natures-path,,,,,
Necromancy,1st,Séance,10 m,1 target,C,N,The caster can communicate with target spirit or sentient undead within Range for the Duration. Note that this Spell merely enables communication it does not compel the target to answer nor will it protect the caster from hostile targets.,+1 Weave: add one target.,"+2 Weave: as long as this Spell is active, the target won't attack the caster, unless attacked first (it can still attack the caster's allies and followers).",+3 Weave: change Duration to 1 minute per Level.,necromancy,,,,,
Necromancy,2nd,Danse Macabre,20 m,1 target,1 min/lvl,N,"The caster animates target corpse of a Small or Medium creature, which has been dead for a number of days equal to the caster Level or less. The animated corpse has the same stats as a Small or Medium Undead Thrall, with a special -20 penalty to all its Skill Rolls (but not to its Attack Rolls). The caster can Concentrate to have the corpses animated by this Spell take a Full Action, otherwise they will stand still, without moving. The corpse will return to its original status as soon as it's destroyed or the Spell ends.",+1 Weave: add one target.,"+2 Weave: the spell can also target corpses of Large creatures, creating a Large Undead Thrall from them. Weave Spell Range Area of Effect Duration Save",,necromancy,,,,,
Necromancy,3rd,Dominate Undead,10 m,1 target,P,Y,"The caster dominates target undead within Range. The creature will not attack the caster and will follow their orders to the best of its capabilities as long as this Spell is active. If the creature is not issued any order, it will simply follow the caster, defending itself if needed. The maximum number of undead the caster can dominate through this Spell is equal to their Level. If this number is reached, they cannot cast this Spell anymore, unless they release at least one of the undead under their dominion first. A dominated undead is automatically released if it's more than 10 meters per Level of the caster away from the character dominating it.",+2 Weave: add one target.,,,necromancy,,,,,
Necromancy,4th,Speak with the Dead,3 m,1 target,-,N,"The caster calls forth the shade of target dead humanoid creature within Range that has been dead for one year per Level of the caster or less, compelling it to answer a question. The caster can ask the shade to reveal one of the following facts: what killed them; what the last thing they saw was; who they are; what they were doing just before dying. The shade must answer truthfully, but its knowledge is limited to what the creature knew in life. If the shade cannot answer the question (because the creature had no way of knowing the answer), it says so and the caster is allowed to ask it to reveal a different fact.",+2 Weave: the caster can ask the shade to reveal one more fact.,+3 Weave: the caster can summon the shade of target dead creature within Range that has been dead for 10 years per Level of the caster instead.,,necromancy,,,,,
Necromancy,5th,Animate Thrall,3 m,1 target,P,N,"Target corpse of a Small or Medium creature raises as a Small or Medium Undead Thrall. This Spell does not grant the caster any control over the actions of the Thrall, who will simply attack the nearest living being, unless prevented from doing so.","+1 Weave: increase the Level of the Thrall created by this Spell by 1, granting it a permanent +5 bonus to its Total HPs and CMB.",+2 Weave: add one target.,"+2 Weave: the Spell can also target corpses of Large creatures, raising them as Large Undead Thralls.",necromancy,,,,,
Necromancy,6th,Drain Life,20 m,1 target,C,Y,"As long as the caster concentrates, target living creature must pass a WSR at the end of each Round or become Stunned and suffer damage equal to 10% of theirTotal HPs. The caster recovers a number of lost HPs equal to half the damage inflicted by this Spell. This Spell ends immediately if the target dies, passes the Save Roll, or if the caster stops Concentrating.",+2 Weave: add one target.,,,necromancy,,,,,
Necromancy,7th,Soulreaper,0 (touch),1 weapon,1 rnd/lvl,N,"The caster imbues target melee weapon within Range with the dark power of Unlight. For the Duration, every living creature touched by the weapon (save for the caster and its wielder) must pass a TSR or suffer an amount of Soul Damage equal to 1d10 plus the caster's Level, in addition to the damage normally inflicted by the weapon.",,,,necromancy,,,,,
Necromancy,8th,Gravelord's Call,10 m,1 target,1 hr/lvl,Y,"The caster summons an undead spirit from the surrounding area, which will appear in an unoccupied space that the caster can see within Range. The caster can choose to summon a specific spirit that haunts the area by speaking its true name, or call a random spirit. If a random spirit is called, roll on the following table to determine its type. The spirit is under the complete control of the caster for the Duration, unless it passes a WSR (in that case the spirit still appears, but retains its free will).",,,,necromancy,,,,,
Necromancy,9th,Spirit Possession,20 m,1 target,Special,Y,"This Spell transfers the caster's soul into target living creature's body while imprisoning the target's soul inside the caster's. As long as the caster's soul possesses the body of the target, the caster has complete control over its actions. The caster retains all of their mental faculties and abilities, but assumes the physical stats and capabilities of the target. Meanwhile, the caster's body is Incapacitated, and the target imprisoned within it, completely unaware of what's happening around them. The target can attempt a new WSR every 10 minutes. If it succeeds, both souls are forced back to their original bodies, and the caster takes 1d10+1 Soul Damage. The caster can end the effects of this Spell at any moment as a Half Action, having both souls return to their original bodies without ill effects. If one of the two bodies is slain while this Spell is active, the caster must pass a TSR with an Attack Level equal to the Level of the target. If the caster passes this SR, the target dies, and the caster's soul is permanently transferred into the surviving body. Otherwise, the caster dies and the target's soul continues living inside the remaining body. Whoever survives takes 2d10+2 Soul Damage.",,,,necromancy,,,,,
Necromancy,10th,Banishing,20 m,1 target,1 wk/10 fail,Y,"This Spell exiles target living creature's soul from its body, banishing it to the nether realms. The target falls into a coma for one week for every 10 points of failure on their Save Roll and can't be awakened unless their soul is returned to them.  ",,,,necromancy,,,,,
Skirmishing Mastery,1st,Swing*,0 (self),caster,1 rnd,N,"This Spell allows the caster to perform an incredible feat of agility in the Round it's cast, permitting to jump 3 meters in any direction, grasp a fixed, inanimate object, swing from it, and safely land in an unoccupied spot within 6 meters of that object.","+3 Weave: after a swing, instead of landing, the caster can choose to grasp another fixed, inanimate object and perform another swing.",,,skirmishing-mastery,,,,,
Skirmishing Mastery,2nd,Marksmanship*,0 (self),caster,1 rnd,N,The caster gains a +30 magical bonus to the next Ranged weapon Attack Roll made during this Round.,+2 Weave: increase the bonus by +10.,,,skirmishing-mastery,,,,,
Skirmishing Mastery,3rd,Dead Eye,0 (self),caster,1 rnd/lvl,N,"For the Duration, the caster treats Medium Range attacks as if they were within the Base Range of the weapon they wield, Long Range attacks as if they were in Medium Range, and Extreme Range attacks as if they were in Long Range.",,,,skirmishing-mastery,,,,,
Skirmishing Mastery,4th,Pinning Shot*,0 (self),caster,1 rnd,N,The creature hit by the caster's next ranged weapon attack this Round must pass a WSR or be unable to take move actions in the following Move Phase.,,,,skirmishing-mastery,,,,,
Skirmishing Mastery,5th,Evasive Maneuver*,30 m,1 attack,1 rnd,N,"The caster gains a magical +50 bonus to their DEF against target non-magical attack within Range. After the attack is resolved, the caster jumps to any unoccupied space within 3 meters as a Free Action. Weave Spell Range Area of Effect Duration Save",,,,skirmishing-mastery,,,,,
Skirmishing Mastery,6th,Ricochet*,0 (self),caster,1 rnd,N,The next ranged weapon attack made by the caster this Round cannot be Parried and ignores its target's shield and Partial Cover DEF bonuses.,,,,skirmishing-mastery,,,,,
Skirmishing Mastery,7th,Caltrops,0 (touch),1.5m radius,P,N,"The caster creates a magical trap, covering the Area of Effect and Very Hard (-30) to detect. The first creature other than the caster that enters or leaves the Area of Effect triggers the trap, suffering a Light Impact, Cut, or Pierce Critical Strike (the type is chosen by the caster at the time of casting).","+2 Weave: the creature triggering the trap must also pass a TSR or fall Prone, immediately ending its movement.",,,skirmishing-mastery,,,,,
